Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2014-12-09,71.8,71.8,71.8,71.8,0.1,,,4970.0,,,5.0
2014-12-08,71.7,71.7,71.7,71.7,-0.3,,,4995.0,,,30.0
2014-12-05,72.0,72.0,72.0,72.0,-0.15,,,5004.0,,,9.0
2014-12-04,72.15,72.15,72.15,72.15,-0.05,,,5004.0,,,30.0
2014-12-03,72.2,72.2,72.2,72.2,-0.4,,,5004.0,,,17.0
2014-12-02,72.6,72.6,72.6,72.6,-0.55,,,5009.0,,,45.0
2014-12-01,73.0,73.15,73.0,73.15,-0.65,73.0,12.0,5016.0,,,35.0
2014-11-28,73.9,73.9,73.9,73.9,-0.15,,,5230.0,,,
2014-11-27,74.05,74.05,74.05,74.05,0.0,,,5230.0,,,
2014-11-26,74.05,74.05,74.05,74.05,0.0,,,5230.0,,,
2014-11-25,74.05,74.05,74.05,74.05,0.1,,,5230.0,,,
2014-11-24,73.95,73.95,73.95,73.95,-0.1,,,5230.0,,,
2014-11-21,74.05,74.05,74.05,74.05,0.15,,,5230.0,,,
2014-11-20,73.9,73.9,73.9,73.9,-0.05,,,5230.0,,,
2014-11-19,73.95,73.95,73.95,73.95,-0.2,,,5230.0,,,
2014-11-18,74.15,74.15,74.15,74.15,0.25,,,5230.0,,,
2014-11-17,73.9,73.9,73.9,73.9,0.5,,,5230.0,,,
2014-11-14,73.4,73.4,73.4,73.4,-0.25,,,5230.0,,,
2014-11-13,73.65,73.65,73.65,73.65,0.25,,,5215.0,,,70.0
2014-11-12,73.4,73.4,73.4,73.4,-0.25,,,5090.0,,,135.0
2014-11-11,73.65,73.65,73.65,73.65,0.6,,,5090.0,,,
2014-11-10,73.05,73.05,73.05,73.05,1.15,,,5085.0,,,5.0
2014-11-07,71.9,71.9,71.9,71.9,0.65,,,5085.0,,,
2014-11-06,71.25,71.25,71.25,71.25,-0.3,,,5110.0,,,45.0
2014-11-05,71.55,71.55,71.55,71.55,0.0,,,5110.0,,,30.0
2014-11-04,71.55,71.55,71.55,71.55,-0.45,,10.0,5100.0,,,10.0
2014-11-03,72.0,72.0,72.0,72.0,-0.15,,,5090.0,,,10.0
2014-10-31,72.85,72.85,72.85,72.85,0.0,,,5441.0,,,
2014-10-30,72.85,72.85,72.85,72.85,0.0,,,5441.0,,,
2014-10-29,72.85,72.85,72.85,72.85,0.15,,,5441.0,,,
2014-10-28,72.7,72.7,72.7,72.7,-0.15,,,5441.0,,,
2014-10-27,72.85,72.85,72.85,72.85,-0.1,,,5441.0,,,
2014-10-24,72.95,72.95,72.95,72.95,-0.05,,,5441.0,,,
2014-10-23,73.0,73.0,73.0,73.0,0.1,,,5441.0,,,
2014-10-22,72.9,72.9,72.9,72.9,0.7,,,5436.0,,,
2014-10-21,72.2,72.2,72.2,72.2,0.2,,,5436.0,,,
2014-10-20,72.0,72.0,72.0,72.0,0.05,,,5436.0,,,
2014-10-18,72.0,72.0,72.0,72.0,0.05,,,5436.0,,,
2014-10-17,71.4,71.95,71.4,71.95,0.0,71.4,20.0,5436.0,,,
2014-10-16,71.95,71.95,71.95,71.95,-0.2,,,5413.0,,,23.0
2014-10-15,72.15,72.15,72.15,72.15,0.05,,,5413.0,,,5.0
2014-10-14,72.1,72.1,72.1,72.1,-0.1,,,5418.0,,,45.0
2014-10-13,72.2,72.2,72.2,72.2,-0.25,,,5418.0,,,30.0
2014-10-10,72.45,72.45,72.45,72.45,0.1,,,5437.0,,,
2014-10-09,72.35,72.35,72.35,72.35,-0.3,,,5462.0,,,40.0
