Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2010-08-25,89.65,89.65,89.65,89.65,-0.05,,,1040.0,,,
2010-08-24,89.7,89.7,89.7,89.7,0.4,,,1040.0,,,
2010-08-23,89.3,89.3,89.3,89.3,-0.4,,,1040.0,,,
2010-08-20,89.7,89.7,89.7,89.7,0.35,,,1040.0,,,
2010-08-19,89.35,89.35,89.35,89.35,0.6,,,1040.0,,,
2010-08-18,88.75,88.75,88.75,88.75,-0.75,,,1040.0,,,
2010-08-17,89.5,89.5,89.5,89.5,0.8,,,1040.0,,,
2010-08-16,88.7,88.7,88.7,88.7,0.6,,,1050.0,,10.0,
2010-08-13,88.1,88.1,88.1,88.1,-0.75,,,1040.0,,15.0,
2010-08-12,88.85,88.85,88.85,88.85,-0.45,,,1040.0,,15.0,
2010-08-11,89.3,89.3,89.3,89.3,-0.8,,,1040.0,,,
2010-08-10,90.1,90.1,90.1,90.1,-0.45,,,1050.0,,15.0,
2010-08-09,90.55,90.55,90.55,90.55,-0.7,,,1055.0,,5.0,
2010-08-06,91.25,91.25,91.25,91.25,-0.55,,,1065.0,,10.0,
2010-08-05,91.8,91.8,91.8,91.8,-1.85,,,1075.0,,20.0,
2010-08-04,93.65,93.65,93.65,93.65,-0.85,,,1085.0,,40.0,
2010-08-03,94.5,94.5,94.5,94.5,-0.35,,,1085.0,,5.0,
2010-08-02,94.85,94.85,94.85,94.85,-0.4,,,1075.0,,5.0,
2010-07-30,96.2,96.2,96.2,96.2,-0.1,,,1235.0,,,
2010-07-29,96.3,96.3,96.3,96.3,0.65,,,1235.0,,,
2010-07-28,95.65,95.65,95.65,95.65,-0.3,,,1235.0,,,
2010-07-27,95.95,95.95,95.95,95.95,-0.1,,,1235.0,,,
2010-07-26,96.05,96.05,96.05,96.05,0.1,,,1245.0,,,
2010-07-23,95.95,95.95,95.95,95.95,0.0,,,1255.0,,,
2010-07-22,95.95,95.95,95.95,95.95,-0.2,,,1255.0,,,
2010-07-21,96.15,96.15,96.15,96.15,-0.4,,,1255.0,,,
2010-07-20,96.55,96.55,96.55,96.55,-0.05,,,1255.0,,5.0,
2010-07-19,96.6,96.6,96.6,96.6,-0.25,,,1255.0,,,
2010-07-16,96.85,96.85,96.85,96.85,-0.3,,,1280.0,,25.0,
2010-07-15,97.15,97.15,97.15,97.15,0.1,,,1295.0,,20.0,
2010-07-14,97.05,97.05,97.05,97.05,0.25,,,1245.0,,,
2010-07-13,96.8,96.8,96.8,96.8,-0.25,,,1245.0,,,
2010-07-12,97.05,97.05,97.05,97.05,-0.1,,,1245.0,,,
2010-07-09,97.15,97.15,97.15,97.15,0.05,,,1210.0,,,
2010-07-08,97.1,97.1,97.1,97.1,0.7,,,1210.0,,,
2010-07-07,96.4,96.4,96.4,96.4,-0.7,,,1210.0,,,
2010-07-06,97.1,97.1,97.1,97.1,-0.4,,,1710.0,,,
2010-07-05,97.5,97.5,97.5,97.5,-0.15,,,1710.0,,,
2010-07-02,97.65,97.65,97.65,97.65,-0.5,,,1710.0,,,
2010-07-01,98.15,98.15,98.15,98.15,-0.75,,,1710.0,,,
2010-06-30,98.9,98.9,98.9,98.9,-0.25,,,1710.0,,,
2010-06-29,99.15,99.15,99.15,99.15,0.05,,,1710.0,,,
2010-06-25,99.65,99.65,99.65,99.65,0.5,,,2665.0,,,
2010-06-24,99.15,99.15,99.15,99.15,-0.35,,,2665.0,,,
2010-06-23,99.5,99.5,99.5,99.5,0.3,,,2665.0,,,
2010-06-22,99.2,99.2,99.2,99.2,-0.7,,,2665.0,,,
2010-06-21,99.9,99.9,99.9,99.9,-0.25,,,2665.0,,,
2010-06-18,100.15,100.15,100.15,100.15,-0.25,,,2670.0,,25.0,
2010-06-17,100.4,100.4,100.4,100.4,-0.05,,,2655.0,,15.0,
